time,value
1732463594319319226,1
1732463595319336069,1
1732463596319346946,1
1732463597319023735,1
1732463598322484928,1
1732463599401314406,1
1732463600318117685,1
1732463601321791095,1
1732463602322305548,1
1732463603322325533,1
1732463604319593042,1
1732463605318720961,1
1732463606318931864,1
1732463607333273405,1
1732463608324094085,1
1732463609325359328,1
1732463610324807978,1
1732463611340961964,1
1732463612325697068,1
1732463613327377726,1
1732463614323895533,1
1732463615326589523,1
1732463616328683964,1
1732463617624454357,1
1732463618375898663,1
1732463619325631595,1
1732463620324339823,1
1732463621324923872,1
1732463622325676638,1
1732463623325211960,1
1732463624330529811,1
1732463625330301415,1
1732463626324606861,1
1732463627326240462,1
1732463628325896370,1
1732463629325571011,1
1732463630324748204,1
1732463631329088080,1
1732463632325112515,1
1732463633325758030,1
1732463634324821192,1
1732463635324731704,1
1732463636324513967,1
1732463637336643630,1
1732463638324846439,1
1732463639328956693,1
1732463640396573421,1
1732463641343228486,1
1732463642324832875,1
1732463643324818519,1
1732463644325305578,1
1732463645324577520,1
1732463646324697854,1
1732463647324877900,1
1732463648323836245,1
1732463649324502878,1
1732463650324616901,1
1732463651326072930,1
1732463652325580320,1
1732463653329073061,1
1732463654325168329,1
1732463655323872390,1
1732463656323262210,1
1732463657325320223,1
1732463658331674097,1
1732463659383996203,1
1732463660325703186,1
1732463661330459418,1
1732463662327735450,1
1732463663325333274,1
1732463664324911555,1
1732463665325448267,1
1732463666326687863,1
1732463667343980313,1
1732463668328480909,1
1732463669326289115,1
1732463670327516327,1
1732463671338815899,1
1732463672326322619,1
1732463673326584689,1
1732463674331472787,1
1732463675332908769,1
1732463676328839719,1
1732463677330454363,1
1732463678330265822,1
1732463679328616181,1
1732463680329982601,1
1732463681328306392,1
1732463682328789884,1
1732463683328291904,1
1732463684328431974,1
1732463685328536751,1
1732463686328542480,1
1732463687329445647,1
1732463688336707168,1
1732463689328554664,1
1732463690328326928,1
1732463691337681005,1
1732463692332558550,1
1732463693328365929,1
1732463694340387750,1
1732463695328676019,1
1732463696330422330,1
1732463697349008568,1
1732463698409793096,1
1732463699401727184,1
1732463700378699041,1
1732463701342778494,1
1732463702331709663,1
1732463703330535912,1
1732463704332869609,1
1732463705333415146,1
1732463706330863663,1
1732463707330786089,1
1732463708331104705,1
1732463709330628355,1
1732463710331171789,1
1732463711343174945,1
